nit_proveedor,empresa_ciudad,contacto,telefono,email
900111,CoopCafe - Bogota,Carlos Perez,3005551122.0,carlos@coop.com
800222,Insumos Panaderos - Medellin,,3114445566.0,
700333,Lacteos El Prado - Cali,Ana Rojas,,ana@prado.com
600444,Distribuidora Sabana - Chia,Luis Gomez,3208889900.0,luis@sabana.com
500555,Salsas y Especias - Bogota,,3157778899.0,
400666,Empaques de Carton - Barranquilla,Marta Diaz,3001112233.0,marta@empaques.com
300777,Granos y Cereales - Bucaramanga,,,ventas@granos.com
200888,Bebidas Refrescantes - Bogota,Jorge Silva,3109998877.0,
100999,Dulces y Postres - Medellin,Elena Castro,3204445566.0,elena@dulces.com
999000,Frutas Frescas - Cali,,3112223344.0,frutas@cali.com
