id_producto,nombre_producto,categoria,precio,stock,fecha_vencimiento
1,Café Tostao,Bebida,5000.0,50,2026-12-01
2,Chocolatina Jet,Snack,1200.0,0,2027-01-15
3,Empanada,Snack,3000.0,20,2026-05-10
4,Jugo Hit,Bebida,2500.0,0,2026-08-22
5,Galletas Festival,Snack,1500.0,100,2026-11-30
6,Agua Cristal,Bebida,2000.0,30,2026-10-10
7,Sandwich De Pavo,Almuerzo,7500.0,15,2026-04-20
8,Brownie,Postre,3500.0,0,2026-04-25
9,Té Helado,Bebida,3000.0,40,2026-07-11
10,Papas Margarita,Snack,2200.0,60,2026-09-05
11,Croissant,Panaderia,2800.0,0,2026-05-15
12,Avena Alpina,Bebida,2600.0,25,2026-06-20
13,Yogurt Finesse,Bebida,3200.0,35,2026-07-30
14,Muffin De Arandanos,Postre,4000.0,0,2026-08-10
15,Dedito De Queso,Snack,2500.0,45,2026-05-05
16,Ensalada De Frutas,Postre,5500.0,10,2026-04-18
17,Wrap De Pollo,Almuerzo,8000.0,0,2026-04-19
18,Gomitas Trululu,Snack,1000.0,80,2026-12-20
19,Tinto,Bebida,1500.0,100,2026-04-30
20,Aromatica,Bebida,2000.0,0,2026-05-01
